        150.       2.32671       0.41639       0.96949       0.15133
        300.       2.08983       0.17245       0.91613       0.08508
        450.       2.02654       0.15812       0.95447       0.08541
        600.       1.96271       0.11242       1.14889       0.08773
        750.       1.94141       0.10438       0.97620       0.06078
        900.       1.97302       0.09334       0.92301       0.05309
       1050.       2.10652       0.10624       1.05245       0.05893
       1200.       1.87012       0.07628       1.04947       0.04753
       1350.       2.09100       0.08083       1.06307       0.04551
       1500.       1.97190       0.07267       0.91672       0.04138
       1650.       2.03439       0.06844       0.94999       0.03842
       1800.       1.98591       0.06524       1.03186       0.03954
       1950.       1.92550       0.06249       0.94000       0.03724
       2100.       1.96335       0.06085       0.95567       0.03441
       2250.       1.95950       0.05982       1.03055       0.03589
       2400.       1.95025       0.05626       1.03243       0.03541
       2550.       1.98336       0.05733       1.00753       0.03293
       2700.       1.94070       0.05616       0.98627       0.03151
       2850.       2.01960       0.05443       0.91344       0.02905
       3000.       2.00785       0.05364       1.02328       0.03130
       3150.       2.06678       0.05401       0.97631       0.02950
       3300.       1.96201       0.04840       0.95130       0.02731
       3450.       2.01633       0.04890       1.02038       0.02837
       3600.       2.01171       0.04831       0.95107       0.02585
       3750.       2.04479       0.04850       0.99437       0.02734
       3900.       2.07237       0.04701       0.98082       0.02606
       4050.       2.01599       0.04646       0.96355       0.02511
       4200.       1.98246       0.04298       0.95772       0.02422
       4350.       2.00937       0.04261       0.97704       0.02530
       4500.       1.96645       0.04378       1.01469       0.02522
       4650.       2.00196       0.04173       0.96545       0.02288
       4800.       2.00807       0.04084       0.99067       0.02351
       4950.       2.02252       0.04041       0.96892       0.02229
       5100.       2.00717       0.03994       0.99713       0.02306
       5250.       2.00422       0.04099       0.97516       0.02208
       5400.       1.97724       0.03903       0.99525       0.02261
       5550.       2.00348       0.03933       0.96007       0.02201
       5700.       2.05545       0.03832       0.97500       0.02127
       5850.       2.03548       0.03760       0.98104       0.02087
       6000.       1.98100       0.03630       0.98098       0.02165
       6150.       1.99197       0.03610       0.95966       0.02106
       6300.       1.96880       0.03559       0.97838       0.02056
       6450.       2.00996       0.03570       0.96434       0.02011
       6600.       2.07884       0.03636       0.98225       0.02056
       6750.       1.99767       0.03520       1.02383       0.02076
       6900.       2.04720       0.03521       0.99162       0.01995
       7050.       2.03253       0.03504       1.02625       0.01997
       7200.       2.06129       0.03523       1.00066       0.01962
       7350.       2.05051       0.03386       1.02471       0.02007
       7500.       2.03388       0.03310       0.99752       0.01943
       7650.       2.03398       0.03322       0.99563       0.01935
       7800.       1.98891       0.03213       0.98242       0.01875
       7950.       1.97723       0.03246       0.97191       0.01807
       8100.       1.97673       0.03113       0.98443       0.01784
       8250.       2.00045       0.03114       1.00169       0.01830
       8400.       2.02145       0.03137       1.01677       0.01843
       8550.       2.00778       0.03211       0.99759       0.01799
       8700.       2.04435       0.03136       1.02680       0.01804
       8850.       1.95335       0.02917       0.96948       0.01728
       9000.       1.97903       0.03042       0.96148       0.01700
       9150.       1.97931       0.03200       0.92766       0.01613
       9300.       1.95800       0.02896       0.99252       0.01714
       9450.       2.03783       0.03036       1.00150       0.01696
       9600.       2.03830       0.03029       0.97187       0.01668
       9750.       2.05470       0.02995       0.96880       0.01598
       9900.       1.95903       0.02825       0.96467       0.01651
      10050.       2.02309       0.02922       1.00231       0.01675
      10200.       2.00808       0.02888       1.00173       0.01640
      10350.       1.97583       0.02776       1.01501       0.01676
      10500.       2.01017       0.02797       0.98310       0.01614
      10650.       1.94895       0.02773       0.98893       0.01598
      10800.       2.01868       0.02853       1.00796       0.01625
      10950.       1.97798       0.02672       1.00486       0.01579
      11100.       1.93187       0.02668       1.00559       0.01585
      11250.       1.96168       0.02680       1.00829       0.01552
      11400.       2.01391       0.02725       0.98705       0.01543
      11550.       1.98822       0.02640       0.98373       0.01521
      11700.       1.95553       0.02595       0.97118       0.01484
      11850.       1.99495       0.02650       1.02191       0.01594
      12000.       1.96417       0.02579       0.99745       0.01509
      12150.       1.96916       0.02617       0.99598       0.01502
      12300.       1.98806       0.02525       1.00069       0.01519
      12450.       1.98065       0.02544       0.99384       0.01475
      12600.       2.05297       0.02614       1.00180       0.01510
      12750.       1.98209       0.02494       0.98896       0.01468
      12900.       1.98514       0.02531       0.98108       0.01430
      13050.       1.95397       0.02480       1.02510       0.01466
      13200.       1.95683       0.02475       0.96540       0.01368
      13350.       1.99557       0.02473       0.98944       0.01431
      13500.       2.05723       0.02526       1.00866       0.01459
      13650.       1.97507       0.02439       0.98991       0.01408
      13800.       1.93624       0.02359       0.98587       0.01381
      13950.       2.04695       0.02474       0.99621       0.01405
      14100.       1.97899       0.02411       1.00380       0.01399
      14250.       1.99338       0.02407       0.99635       0.01381
      14400.       2.02790       0.02403       0.99058       0.01369
      14550.       2.01661       0.02405       0.98468       0.01390
      14700.       1.94978       0.02304       0.99275       0.01357
      14850.       1.97947       0.02351       0.99026       0.01391
      15000.       1.96875       0.02313       0.97675       0.01335
      15150.       2.01543       0.02335       0.98904       0.01328
      15300.       2.01699       0.02312       0.97996       0.01326
      15450.       1.99461       0.02346       0.97280       0.01362
      15600.       1.97975       0.02356       0.99003       0.01321
      15750.       2.01692       0.02326       0.98448       0.01281
      15900.       1.95827       0.02229       0.99877       0.01355
      16050.       2.00204       0.02280       0.96868       0.01254
      16200.       2.03085       0.02271       1.00055       0.01300
      16350.       1.95903       0.02254       0.99305       0.01301
      16500.       1.98232       0.02204       0.97654       0.01282
      16650.       2.00815       0.02276       0.98764       0.01265
      16800.       2.03433       0.02279       0.96963       0.01236
