0.00  38.96537  25.90538  21.21674  19.16075  18.49927  18.76000
0.10  23.42212  19.75837  17.92757  17.51440  18.01100  19.14628
0.20   2.31638  15.00689  15.83045  16.88969  18.41554  20.25809
0.30   0.02284  12.28941  15.02252  17.31636  19.67593  21.92401
0.40   0.01227  11.28508  15.47242  18.77632  21.62830  23.79790
0.50   0.01007  11.73054  17.20254  21.13714  23.89015  25.38467
0.60   0.01078  13.75170  20.18606  23.98160  25.86141  26.19638
0.70   0.01573  17.73046  24.00616  26.55002  26.91676  25.96407
0.80   0.05296  23.53151  27.62935  27.99054  26.69226  24.76589
0.90  13.80595  29.52775  29.76624  27.77949  25.26676  22.98936
1.00  32.62972  33.27447  29.58181  25.99515  23.12220  21.15144
1.10  43.48335  33.15854  27.14944  23.27699  20.90687  19.69431
1.20  43.69665  29.22958  23.41252  20.49213  19.15890  18.88468
1.30  33.21731  23.17912  19.66658  18.32707  18.17874  18.83317
1.40  14.62252  17.45221  16.85908  17.11481  18.07703  19.54584
1.50   0.05880  13.59008  15.32408  16.94560  18.86263  20.92841
1.60   0.01611  11.66687  15.06330  17.82595  20.45416  22.73783
1.70   0.01086  11.30222  16.06289  19.70549  22.60256  24.55246
1.80   0.01005  12.39245  18.35334  22.34913  24.81998  25.85477
1.90   0.01211  15.21857  21.78708  25.18179  26.46182  26.22767
2.00   0.02198  20.07996  25.67919  27.35583  26.98283  25.54594
2.10   1.55056  26.25256  28.80522  28.11224  26.20064  24.03666
2.20  22.68202  31.55681  29.98990  27.17170  24.38748  22.17044
2.30  38.52716  33.73690  28.76403  24.88050  22.13370  20.45294
2.40  44.94887  31.85671  25.61295  22.02952  20.06835  19.25431
2.50  40.37078  26.72307  21.71930  19.44985  18.62991  18.76687
2.60  25.91630  20.52737  18.30181  17.67569  18.02454  19.05121
2.70   5.18410  15.51904  16.03401  16.91217  18.31088  20.07327
2.80   0.02650  12.54222  15.05703  17.19931  19.46337  21.68148
2.90   0.01290  11.33289  15.34004  18.52568  21.34043  23.55408
3.00   0.01017  11.58751  16.89797  20.78306  23.59213  25.20940
3.10   0.01052  13.37894  19.72658  23.60074  25.64033  26.14616
3.20   0.01459  17.08174  23.48244  26.25704  26.84655  26.05587
3.30   0.03949  22.69914  27.20757  27.88852  26.79766  24.96893
3.40  10.94430  28.81050  29.60628  27.90633  25.51084  23.23995
3.50  30.50460  32.97979  29.74733  26.30387  23.42495  21.38146
3.60  42.62213  33.41267  27.57459  23.66018  21.18342  19.85442
3.70  44.31063  29.92376  23.93642  20.83747  19.35090  18.94969
3.80  35.15589  24.01500  20.12383  18.56357  18.25937  18.79526
3.90  17.40727  18.12121  17.16060  17.21630  18.03890  19.40939
4.00   0.09510  13.98300  15.45346  16.90746  18.70894  20.71319
4.10   0.01762  11.82556  15.02585  17.64942  20.20312  22.48655
4.20   0.01120  11.26884  15.85628  19.40391  22.30042  24.32987
4.30   0.01001  12.15705  17.97624  21.97105  24.54444  25.72865
4.40   0.01161  14.72801  21.28314  24.82421  26.29933  26.23983
4.50   0.01949  19.32629  25.17717  27.13586  26.98941  25.69226
4.60   0.23018  25.42680  28.48142  28.10984  26.37398  24.26910
4.70  20.05791  30.99309  29.97086  27.38776  24.66805  22.41972
4.80  36.90207  33.67840  29.05734  25.23639  22.43440  20.65720
4.90  44.72243  32.32840  26.10340  22.40831  20.31337  19.37506
5.00  41.59854  27.52182  22.23120  19.75366  18.77544  18.78746
